NUTS_ID,region_name,geo,time,population,geo_beds,time_beds,beds,area_km2,pop_density,beds_per_100k
PL22,Śląskie,PL22,2023,4245283.0,PL22,2023,25927.0,12337.323777019279,344.1008014969733,610.7248916032217
PL61,Kujawsko-pomorskie,PL61,2023,1943197.0,PL61,2023,18324.0,17972.25289171724,108.12205969433856,942.9821062918479
PL41,Wielkopolskie,PL41,2023,3444228.0,PL41,2023,15092.0,29826.02927755088,115.47725538485818,438.1823735246331
PL62,Warmińsko-mazurskie,PL62,2023,1303380.0,PL62,2023,7645.0,24012.1139873234,54.28010214711155,586.551888167687
PL42,Zachodniopomorskie,PL42,2023,1589049.0,PL42,2023,20139.0,22446.35289841398,70.79319331704347,1267.3617994158772
PL51,Dolnośląskie,PL51,2023,2813919.0,PL51,2023,20761.0,19948.479788490113,141.05932030086709,737.7966458878169
PL52,Opolskie,PL52,2023,896370.0,PL52,2023,4843.0,9412.26155033561,95.23428510845392,540.2902819148343
PL71,Łódzkie,PL71,2023,2343021.0,PL71,2023,12822.0,18218.42977915433,128.607186700629,547.2422142183104
PL63,Pomorskie,PL63,2023,2295745.0,PL63,2023,10711.0,18173.654024408756,126.3226975112776,466.5587859278796
PL43,Lubuskie,PL43,2023,952793.0,PL43,2023,4650.0,13986.132447835591,68.12412248730338,488.0388499915511
PL92,Mazowiecki regionalny,PL92,2023,2210253.0,PL92,2023,9124.0,29455.808491514206,75.03623608351276,412.8034211468099
PL72,Świętokrzyskie,PL72,2023,1133097.0,PL72,2023,9729.0,11708.766904805238,96.77338435484448,858.6202240408368
PL82,Podkarpackie,PL82,2023,1962332.0,PL82,2023,13554.0,17846.678174808392,109.95502808864138,690.70880972231
PL81,Lubelskie,PL81,2023,1948400.0,PL81,2023,11961.0,25123.957724633754,77.5514758206115,613.8883186204065
PL21,Małopolskie,PL21,2023,3319305.0,PL21,2023,20417.0,15184.059280797326,218.6045864690342,615.0986426375401
PL84,Podlaskie,PL84,2023,1083854.0,PL84,2023,6782.0,20184.81174764044,53.69651268244799,625.7300337499331
PL91,Warszawski stołeczny,PL91,2023,3269510.0,PL91,2023,17585.0,6103.6445726231195,535.6652015198988,537.8481790849393
